Paragraph,Titel,Anchor,Absatz,Text
29b,Elektronische Aufenthaltsüberwachung,,,"zur Verfolgung der in Absatz 1 Satz 1 Nummer 1 genannten Straftaten oder von Straftaten von mindestens gleichem Gewicht sowie zur Verfolgung einer Straftat nach § 65b,"
29b,Elektronische Aufenthaltsüberwachung,,,"zur Abwehr einer gegenwärtigen Gefahr für den Bestand oder die Sicherheit des Bundes oder eines Landes, für Leib, Leben, Freiheit oder sexuelle Selbstbestimmung einer Person oder für Sachen von bedeutendem Wert, deren Erhaltung im öffentlichen Interesse liegt,"
29b,Elektronische Aufenthaltsüberwachung,,,"zur Überwachung einer Anordnung nach § 29 Absatz 2, § 29a oder einer Anordnung nach § 1 des Gewaltschutzgesetzes und zur Ahndung von Verstößen gegen eine solche Anordnung und"
29b,Elektronische Aufenthaltsüberwachung,,,zur Aufrechterhaltung der Funktionsfähigkeit des technischen Mittels.
29b,Elektronische Aufenthaltsüberwachung,,,"Zur Einhaltung dieser Zweckbindung hat die Verarbeitung der Daten automatisiert zu erfolgen. Die in den Sätzen 1 und 2 genannten Daten sind zu kennzeichnen und gegen unbefugte Kenntnisnahme und Verarbeitung besonders zu sichern. Sie sind spätestens acht Wochen nach Beendigung der Maßnahme zu löschen, soweit sie nicht zu den in Satz 4 genannten Zwecken verwendet werden; die §§ 42c, 42d, 48 Absatz 6 bleiben unberührt, ebenso § 44 Absatz 3 des Berliner Datenschutzgesetzes. Jeder Abruf der Daten ist nach § 62 des Berliner Datenschutzgesetzes zu protokollieren; die Protokolldaten sind nach Ablauf von zwei Jahren zu löschen. Werden innerhalb der Wohnung der überwachten Person über den Umstand ihrer Anwesenheit hinausgehende Aufenthaltsdaten erhoben, sind diese Daten unverzüglich zu löschen und bis dahin nicht weiter zu verarbeiten. Die Tatsache ihrer Erhebung und Löschung ist zu dokumentieren. Die Dokumentation darf ausschließlich zur Datenschutzkontrolle verwendet werden. Sie ist frühestens nach Abschluss der Datenschutzkontrolle und spätestens nach zwei Jahren zu löschen. Die Sätze 3 und 9 bis 12 gelten entsprechend, soweit durch die Datenerhebung nach Satz 1 der Kernbereich privater Lebensgestaltung betroffen ist."
29b,Elektronische Aufenthaltsüberwachung,P29b-A3,3,"Wird die Maßnahme nach Absatz 1 zum Schutz einer bestimmten gefährdeten Person angeordnet, können mit Einwilligung dieser Person auch Daten über deren Aufenthaltsort durch von ihr mitzuführende technische Mittel automatisiert erhoben, gespeichert und mit den von der überwachten Person erhobenen Daten abgeglichen werden. Für die Datenverarbeitung gilt Absatz 2 Satz 3 bis 13 entsprechend."
29b,Elektronische Aufenthaltsüberwachung,P29b-A4,4,"Maßnahmen nach den Absätzen 1 und 3 bedürfen der gerichtlichen Anordnung, die von der Polizeipräsidentin oder dem Polizeipräsidenten oder der Vertretung im Amt zu beantragen ist. Die Polizeipräsidentin oder der Polizeipräsident kann die Antragsbefugnis auf die Leitung des Landeskriminalamtes sowie die Leitungen der Direktionen und deren jeweilige Vertretung im Amt übertragen. Bei Gefahr im Verzug kann die Anordnung durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt getroffen werden. Die gerichtliche Bestätigung der Anordnung ist in diesem Fall unverzüglich einzuholen; dies gilt auch, wenn die Maßnahme bereits beendet ist. Die Anordnung tritt außer Kraft, wenn sie nicht binnen drei Werktagen gerichtlich bestätigt wird. In diesem Fall dürfen die bereits erhobenen Daten nicht mehr verwendet werden; diese Daten sind unverzüglich zu löschen. Sind bereits Daten übermittelt worden, die zu löschen sind, so ist die empfangende Stelle darüber zu unterrichten."
29b,Elektronische Aufenthaltsüberwachung,P29b-A5,5,Im Antrag und in der gerichtlichen Anordnung sind anzugeben:
29b,Elektronische Aufenthaltsüberwachung,,,"die zu überwachende Person mit Namen sowie ihrer Anschrift oder ihrem Geburtsdatum,"
29b,Elektronische Aufenthaltsüberwachung,,,"Art, Umfang und Dauer der Maßnahme,"
29b,Elektronische Aufenthaltsüberwachung,,,"bei einer Anordnung nach § 29 Absatz 2, § 29a oder einer Anordnung nach § 1 des Gewaltschutzgesetzes insbesondere die Bezeichnung der Orte, an denen sich die Person nicht mehr aufhalten darf, sowie der Person, mit der der überwachten Person der Kontakt untersagt ist,"
29b,Elektronische Aufenthaltsüberwachung,,,"ob eine Datenverarbeitung nach Absatz 3 erfolgen soll, sowie"
29b,Elektronische Aufenthaltsüberwachung,,,die wesentlichen Gründe für die Anordnung einschließlich der wesentlichen Abwägungsgesichtspunkte; bei einer polizeilichen Anordnung nach Absatz 4 Satz 3 muss sich die Begründung auch auf die Gefahr im Verzug beziehen.
29b,Elektronische Aufenthaltsüberwachung,,,"Die Anordnung ist auf höchstens drei Monate zu befristen. Eine Verlängerung um jeweils höchstens drei weitere Monate ist möglich, soweit die Voraussetzungen für die Maßnahme fortbestehen. Die Maßnahme ist zu beenden, wenn ihre Voraussetzungen nicht mehr vorliegen."
29b,Elektronische Aufenthaltsüberwachung,P29b-A6,6,"Die Polizei kann die Wohnung der zu überwachenden Person betreten, um die zur Überwachung des Aufenthalts in der Wohnung erforderlichen technischen Mittel aufzustellen. Nach Abschluss der Maßnahme hat die überwachte Person auf Anforderung die technischen Mittel an die Polizei unverzüglich herauszugeben."
29c,Meldeauflage,P29c-A1,,"Die Polizei kann gegenüber einer Person anordnen, sich an bestimmten Tagen zu bestimmten Zeiten bei einer bestimmten Polizeidienststelle zu melden (Meldeauflage), wenn Tatsachen die Annahme rechtfertigen, dass die Person im Zusammenhang mit einem zeitlich oder örtlich begrenzten Geschehen eine Straftat begehen wird und die Meldeauflage zur vorbeugenden Bekämpfung der Straftat erforderlich ist. Die Meldeauflage ist auf höchstens einen Monat zu befristen. Eine Verlängerung um jeweils nicht mehr als denselben Zeitraum ist zulässig, sofern die Voraussetzungen der Anordnung weiterhin vorliegen. Die Verlängerung der Maßnahme bedarf der gerichtlichen Anordnung."
30,Gewahrsam,P30-A1,1,"Die Polizei kann eine Person in Gewahrsam nehmen, wenn"
30,Gewahrsam,,,"das zum Schutz der Person gegen eine Gefahr für Leib oder Leben unerlässlich ist, insbesondere weil die Person sich erkennbar in einem die freie Willensbestimmung ausschließenden Zustand oder sonst in hilfloser Lage befindet,"
30,Gewahrsam,,,"das unerlässlich ist, um die unmittelbar bevorstehende Begehung oder Fortsetzung einer Ordnungswidrigkeit von erheblicher Bedeutung für die Allgemeinheit oder einer Straftat zu verhindern,"
30,Gewahrsam,,,"das unerlässlich ist, um eine Platzverweisung oder ein Aufenthaltsverbot nach § 29 oder besondere Maßnahmen zum Schutz bei Gewalttaten und Nachstellungen nach § 29a durchzusetzen,"
30,Gewahrsam,,,"das unerlässlich ist, um private Rechte zu schützen, und eine Festnahme oder Vorführung der Person nach den §§ 229, 230 Abs. 3 des Bürgerlichen Gesetzbuches zulässig ist."
30,Gewahrsam,P30-A2,2,"Die Annahme, dass eine Person eine Ordnungswidrigkeit von erheblicher Bedeutung für die Allgemeinheit oder eine Straftat begehen oder zu ihrer Begehung beitragen wird, kann sich insbesondere darauf stützen, dass"
30,Gewahrsam,,,"die Person die Begehung der Tat angekündigt oder dazu aufgefordert hat,"
30,Gewahrsam,,,"bei der Person Waffen, Werkzeuge oder sonstige Gegenstände aufgefunden werden, die ersichtlich zur Tatbegehung bestimmt sind oder"
30,Gewahrsam,,,die Person bereits in der Vergangenheit mehrfach aus vergleichbarem Anlass bei der Begehung von Ordnungswidrigkeiten von erheblicher Bedeutung für die Allgemeinheit oder Straftaten als verantwortliche Person betroffen worden ist und nach den Umständen eine Wiederholung dieser Verhaltensweise mit überwiegender Wahrscheinlichkeit zu erwarten ist.
30,Gewahrsam,P30-A3,3,"Die Polizei kann Minderjährige, die sich der Obhut der Sorgeberechtigten entzogen haben, in Gewahrsam nehmen, um sie den Sorgeberechtigten oder dem Jugendamt zuzuführen."
30,Gewahrsam,P30-A4,4,"Die Polizei kann eine Person, die aus dem Vollzug von Untersuchungshaft, Freiheitsstrafen oder freiheitsentziehenden Maßregeln der Besserung und Sicherung entwichen ist oder sich sonst ohne Erlaubnis außerhalb der Justizvollzugsanstalt aufhält, in Gewahrsam nehmen und in die Anstalt zurückbringen."
31,Gerichtliche Entscheidung,P31-A1,1,"Wird eine Person auf Grund von § 20 Absatz 3, § 21 Absatz 4 Satz 3 oder § 30 festgehalten, hat die Polizei unverzüglich eine gerichtliche Entscheidung über Zulässigkeit und Fortdauer der Freiheitsentziehung herbeizuführen. Der Herbeiführung der gerichtlichen Entscheidung bedarf es nicht, wenn anzunehmen ist, dass die Entscheidung des Gerichts erst nach Wegfall des Grundes der polizeilichen Maßnahmen ergehen würde."
31,Gerichtliche Entscheidung,P31-A2,2,"Ist die Freiheitsentziehung vor Erlass einer gerichtlichen Entscheidung beendet, kann die festgehaltene Person innerhalb eines Monats nach Beendigung der Freiheitsentziehung die Feststellung beantragen, dass die Freiheitsentziehung rechtswidrig gewesen ist, wenn hierfür ein berechtigtes Interesse besteht."
31,Gerichtliche Entscheidung,P31-A3,3,"In Fällen des Absatzes 2 ist die Rechtsbeschwerde gegen die Entscheidung des Landgerichts Berlin II über eine Beschwerde nur statthaft, wenn das Landgericht Berlin II sie wegen der grundsätzlichen Bedeutung der zur Entscheidung stehenden Frage zulässt. Für die Gerichtskosten gelten die Vorschriften über die Kostenerhebung in Angelegenheiten der freiwilligen Gerichtsbarkeit entsprechend. Gebühren werden nur für die Entscheidung, die die Freiheitsentziehung für zulässig erklärt, sowie das Beschwerdeverfahren erhoben."
32,Behandlung festgehaltener Personen,P32-A1,1,"Wird eine Person auf Grund von § 20 Absatz 3, § 21 Absatz 4 Satz 3 oder § 30 festgehalten, ist ihr unverzüglich der Grund bekanntzugeben. Sie ist über die zulässigen Rechtsbehelfe zu belehren. Zu der Belehrung gehört der Hinweis, dass eine etwaige Aussage freiwillig erfolgt."
32,Behandlung festgehaltener Personen,P32-A2,2,"Der festgehaltenen Person ist unverzüglich Gelegenheit zu geben, einen Angehörigen oder eine Person ihres Vertrauens zu benachrichtigen, soweit dadurch der Zweck der Freiheitsentziehung nicht gefährdet wird. Unberührt bleibt die Benachrichtigungspflicht bei einer gerichtlichen Freiheitsentziehung. Die Polizei soll die Benachrichtigung übernehmen, wenn die festgehaltene Person nicht in der Lage ist, von dem Recht nach Satz 1 Gebrauch zu machen, und die Benachrichtigung ihrem mutmaßlichen Willen nicht widerspricht. Ist die festgehaltene Person minderjährig oder ist ein Betreuer für sie bestellt, so ist in jedem Falle unverzüglich derjenige zu benachrichtigen, dem die Sorge für die Person oder die Betreuung der Person nach dem ihm übertragenen Aufgabengebiet obliegt."
32,Behandlung festgehaltener Personen,P32-A3,3,"Die festgehaltene Person soll gesondert, insbesondere ohne ihre Einwilligung nicht in demselben Raum mit Straf- oder Untersuchungsgefangenen untergebracht werden. Männer und Frauen sollen getrennt untergebracht werden. Der festgehaltenen Person dürfen nur solche Beschränkungen auferlegt werden, die der Zweck der Freiheitsentziehung oder die Ordnung im Gewahrsam erfordert."
33,Dauer der Freiheitsentziehung,P33-A1,1,"Die festgehaltene Person ist zu entlassen,"
33,Dauer der Freiheitsentziehung,,,"sobald der Grund für die Maßnahme weggefallen ist,"
33,Dauer der Freiheitsentziehung,,,"wenn die Fortdauer der Freiheitsentziehung durch gerichtliche Entscheidung für unzulässig erklärt wird,"
33,Dauer der Freiheitsentziehung,,,"in jedem Falle spätestens bis zum Ende des Tages nach dem Ergreifen, wenn nicht vorher die Fortdauer der Freiheitsentziehung nach Absatz 2 oder auf Grund eines anderen Gesetzes durch gerichtliche Entscheidung angeordnet ist."
33,Dauer der Freiheitsentziehung,P33-A2,2,"Über das Ende des Tages nach dem Ergreifen hinaus kann die Fortdauer der Freiheitsentziehung auf Grund von § 30 Absatz 1 Nummer 2 durch gerichtliche Entscheidung nur angeordnet werden, wenn Anhaltspunkte dafür vorliegen, dass die oder der Betroffene terroristische Straftaten, Straftaten gegen Leib oder Leben oder in § 100a Absatz 2 Nummer 1 Buchstabe f und i der Strafprozessordnung bezeichnete Straftaten begehen oder sich hieran beteiligen wird. In der Entscheidung ist die höchstzulässige Dauer der Freiheitsentziehung zu bestimmen. Sie darf im Fall einer bevorstehenden terroristischen Straftat nicht mehr als sieben Tage und in den anderen in Satz 1 genannten Fällen nicht mehr als fünf Tage betragen."
33,Dauer der Freiheitsentziehung,P33-A3,3,Eine Freiheitsentziehung zum Zwecke der Feststellung der Identität darf die Dauer von insgesamt zwölf Stunden nicht überschreiten.
34,Durchsuchung von Personen,P34-A1,1,"Die Ordnungsbehörden und die Polizei können eine Person durchsuchen, wenn"
34,Durchsuchung von Personen,,,"Tatsachen die Annahme rechtfertigen, dass sie Sachen mit sich führt, die sichergestellt werden dürfen,"
34,Durchsuchung von Personen,,,sie sich erkennbar in einem die freie Willensbestimmung ausschließenden Zustand oder sonst in hilfloser Lage befindet.
34,Durchsuchung von Personen,P34-A2,2,"Die Polizei kann außer in den Fällen des § 21 Absatz 4 Satz 4 eine Person durchsuchen, wenn"
34,Durchsuchung von Personen,,,"sie nach diesem Gesetz oder anderen Rechtsvorschriften festgehalten werden kann,"
34,Durchsuchung von Personen,,,"sie sich an einem der in § 21 Absatz 2 Satz 1 Nummer 1 und 2 genannten Orte aufhält,"
34,Durchsuchung von Personen,,,"sie sich in einem Objekt im Sinne des § 21 Absatz 2 Satz 1 Nummer 3 oder in dessen unmittelbarer Nähe aufhält und Tatsachen die Annahme rechtfertigen, dass in oder an einem Objekt dieser Art Straftaten begangen werden sollen, durch die Personen oder dieses Objekt gefährdet sind,"
34,Durchsuchung von Personen,,,"sie an einer Kontrollstelle nach § 21 Absatz 2 Satz 1 Nummer 4 angetroffen wird und Tatsachen die Annahme rechtfertigen, dass Straftaten der in jener Vorschrift genannten Art begangen werden sollen,"
34,Durchsuchung von Personen,,,"sie zur gezielten Kontrolle ausgeschrieben ist oder Tatsachen die Annahme rechtfertigen, dass sie Sachen mit sich führt, die zur gezielten Kontrolle ausgeschrieben sind."
34,Durchsuchung von Personen,P34-A3,3,"Die Polizei kann eine Person, deren Identität nach diesem Gesetz oder anderen Rechtsvorschriften festgestellt werden soll, nach Waffen, anderen gefährlichen Werkzeugen und Explosivmitteln durchsuchen, wenn das nach den Umständen zum Schutz des Polizeivollzugsbeamten oder eines Dritten gegen eine Gefahr für Leib oder Leben erforderlich ist. Dasselbe gilt, wenn eine Person vorgeführt oder zur Durchführung einer Maßnahme an einen anderen Ort gebracht werden soll."
34,Durchsuchung von Personen,P34-A4,4,"Personen dürfen nur von Personen gleichen Geschlechts oder Ärztinnen und Ärzten durchsucht werden. Bei berechtigtem Interesse soll dem Wunsch, die Durchsuchung einer Person bestimmten Geschlechts zu übertragen, entsprochen werden. Die Sätze 1 und 2 gelten nicht, wenn die sofortige Durchsuchung zum Schutz gegen eine Gefahr für Leib oder Leben erforderlich ist."
35,Durchsuchung von Sachen,P35-A1,1,"Die Ordnungsbehörden und die Polizei können eine Sache durchsuchen, wenn"
35,Durchsuchung von Sachen,,,"sie von einer Person mitgeführt wird, die nach § 34 durchsucht werden darf,"
35,Durchsuchung von Sachen,,,"Tatsachen die Annahme rechtfertigen, dass sich in ihr eine Person befindet, die widerrechtlich festgehalten wird oder hilflos ist,"
35,Durchsuchung von Sachen,,,"Tatsachen die Annahme rechtfertigen, dass sich in ihr eine andere Sache befindet, die sichergestellt werden darf."
35,Durchsuchung von Sachen,P35-A2,2,"Die Polizei kann außer in den Fällen des § 21 Absatz 4 Satz 4 eine Sache durchsuchen, wenn"
35,Durchsuchung von Sachen,,,"Tatsachen die Annahme rechtfertigen, dass sich in ihr eine Person befindet, die in Gewahrsam genommen werden darf,"
35,Durchsuchung von Sachen,,,"sie sich an einem der in § 21 Absatz 2 Satz 1 Nummer 1 und 2 genannten Orte befindet,"
35,Durchsuchung von Sachen,,,"sie sich in einem Objekt im Sinne des § 21 Absatz 2 Satz 1 Nummer 3 oder in dessen unmittelbarer Nähe befindet und Tatsachen die Annahme rechtfertigen, dass in oder an einem Objekt dieser Art Straftaten begangen werden sollen, durch die Personen oder dieses Objekt gefährdet sind,"
35,Durchsuchung von Sachen,,,"es sich um ein Land-, Wasser- oder Luftfahrzeug handelt, in dem sich eine Person befindet, deren Identität nach § 21 Absatz 2 Satz 1 Nummer 4 festgestellt werden darf; die Durchsuchung kann sich auch auf die in dem Fahrzeug enthaltenen Sachen erstrecken,"
35,Durchsuchung von Sachen,,,"sie zur gezielten Kontrolle ausgeschrieben ist, von einer Person mitgeführt wird, die zur gezielten Kontrolle ausgeschrieben ist, oder Tatsachen die Annahme rechtfertigen, dass sich in ihr eine Person oder eine Sache befindet, die zur gezielten Kontrolle ausgeschrieben ist."
35,Durchsuchung von Sachen,P35-A3,3,"Bei der Durchsuchung von Sachen hat der Inhaber der tatsächlichen Gewalt das Recht, anwesend zu sein. Ist er abwesend, so soll sein Vertreter oder ein anderer Zeuge hinzugezogen werden. Dem Inhaber der tatsächlichen Gewalt ist auf Verlangen eine Bescheinigung über die Durchsuchung und ihren Grund zu erteilen."
36,Betreten und Durchsuchung von Wohnungen,P36-A1,1,"Die Ordnungsbehörden und die Polizei können eine Wohnung ohne Einwilligung des Inhabers betreten und durchsuchen, wenn"
36,Betreten und Durchsuchung von Wohnungen,,,"Tatsachen die Annahme rechtfertigen, dass sich in ihr eine Sache befindet, die nach § 38 Absatz 1 Nummer 1 sichergestellt werden darf,"
36,Betreten und Durchsuchung von Wohnungen,,,"von der Wohnung Emissionen ausgehen, die nach Art, Ausmaß oder Dauer geeignet sind, die Gesundheit in der Nachbarschaft wohnender Personen zu beschädigen,"
36,Betreten und Durchsuchung von Wohnungen,,,"das zur Abwehr einer gegenwärtigen Gefahr für Leib, Leben, Freiheit oder sexuelle Selbstbestimmung einer Person oder für Sachen von bedeutendem Wert erforderlich ist."
36,Betreten und Durchsuchung von Wohnungen,P36-A1-S2,,"Die Wohnung umfasst die Wohn- und Nebenräume, Arbeits-, Betriebs- und Geschäftsräume sowie anderes befriedetes Besitztum."
36,Betreten und Durchsuchung von Wohnungen,P36-A2,2,"Die Polizei kann eine Wohnung ohne Einwilligung des Inhabers betreten und durchsuchen, wenn Tatsachen die Annahme rechtfertigen, dass sich in ihr eine Person befindet, die nach § 20 Abs. 3 vorgeführt oder nach § 30 in Gewahrsam genommen werden darf."
36,Betreten und Durchsuchung von Wohnungen,P36-A3,3,Während der Nachtzeit (§ 104 Abs. 3 der Strafprozessordnung) ist das Betreten und Durchsuchen einer Wohnung nur in den Fällen des Absatzes 1 Nr. 2 und 3 zulässig.
36,Betreten und Durchsuchung von Wohnungen,P36-A4,4,"Wohnungen können jedoch zur Abwehr dringender Gefahren jederzeit betreten werden, wenn Tatsachen die Annahme rechtfertigen, dass"
36,Betreten und Durchsuchung von Wohnungen,,,"dort Personen Straftaten von erheblicher Bedeutung verabreden, vorbereiten oder verüben,"
36,Betreten und Durchsuchung von Wohnungen,,,sich dort gesuchte Straftäter verbergen oder
36,Betreten und Durchsuchung von Wohnungen,,,"dort mutmaßlich Geschädigte von Straftaten nach den §§ 177, 180, 180a, 181a, 182, 232, 232a, 232b, 233, 233a des Strafgesetzbuches anzutreffen oder untergebracht sind."
36,Betreten und Durchsuchung von Wohnungen,P36-A5,5,"Arbeits-, Betriebs- und Geschäftsräume sowie andere Räume und Grundstücke, die der Öffentlichkeit zugänglich sind oder zugänglich waren und den Anwesenden zum weiteren Aufenthalt zur Verfügung stehen, können zum Zwecke der Gefahrenabwehr (§ 1 Abs. 1) während der Arbeits-, Geschäfts- oder Aufenthaltszeit betreten werden."
37,Verfahren bei der Durchsuchung von Wohnungen,P37-A1,1,Durchsuchungen bedürfen der gerichtlichen Anordnung; dies gilt nicht bei Gefahr im Verzug.
37,Verfahren bei der Durchsuchung von Wohnungen,P37-A2,2,"Bei der Durchsuchung einer Wohnung hat der Wohnungsinhaber das Recht, anwesend zu sein. Ist er abwesend, so ist, wenn möglich, sein Vertreter oder ein erwachsener Angehöriger, Hausgenosse oder Nachbar zuzuziehen."
37,Verfahren bei der Durchsuchung von Wohnungen,P37-A3,3,"Dem Wohnungsinhaber oder seinem Vertreter ist der Grund der Durchsuchung unverzüglich bekanntzugeben, soweit dadurch der Zweck der Maßnahme nicht gefährdet wird."
37,Verfahren bei der Durchsuchung von Wohnungen,P37-A4,4,"Über die Durchsuchung ist eine Niederschrift zu fertigen. Sie muss die verantwortliche Stelle, Grund, Zeit und Ort der Durchsuchung und das Ergebnis der Durchsuchung enthalten. Die Niederschrift ist von einem durchsuchenden Beamten und dem Wohnungsinhaber oder der zugezogenen Person zu unterzeichnen. Wird die Unterschrift verweigert, so ist hierüber ein Vermerk aufzunehmen. Dem Wohnungsinhaber oder seinem Vertreter ist auf Verlangen eine Abschrift der Niederschrift auszuhändigen."
37,Verfahren bei der Durchsuchung von Wohnungen,P37-A5,5,"Ist die Anfertigung der Niederschrift oder die Aushändigung einer Abschrift nach den besonderen Umständen des Falles nicht möglich oder würde sie den Zweck der Durchsuchung gefährden, so sind der betroffenen Person lediglich die Durchsuchung unter Angabe der verantwortlichen Ordnungsbehörde oder Polizei sowie Zeit und Ort der Durchsuchung schriftlich oder elektronisch zu bestätigen."
37a,Umsetzung von Fahrzeugen,P37a-A1,1,"Die Ordnungsbehörden und die Polizei können ein abgestelltes Fahrzeug zur Abwehr einer von diesem ausgehenden Gefahr selbst oder durch eine oder einen Beauftragten an eine Stelle im öffentlichen Verkehrsraum verbringen, an der das Parken gestattet ist (Umsetzung). § 15 Absatz 2 und 3 gilt entsprechend."
37a,Umsetzung von Fahrzeugen,P37a-A2,2,"Ist eine Umsetzung nach Absatz 1 mangels Erreichbarkeit einer geeigneten Stelle im öffentlichen Verkehrsraum nicht möglich, kann das Fahrzeug sichergestellt werden. § 38 bleibt unberührt; die §§ 39 bis 41 gelten entsprechend."
37a,Umsetzung von Fahrzeugen,P37a-A3,3,Die Absätze 1 und 2 gelten entsprechend für die Umsetzung und Sicherstellung eines stillliegenden Wasserfahrzeugs oder eines stillliegenden sonstigen Schwimmkörpers.
37b,Nutzungsbeschränkende Maßnahmen an gefährdeten Objekten,P37b-A1,1,"Die Polizei kann an einem gefährdeten Objekt im Sinne von § 24a Absatz 1 und auf den unmittelbar im Zusammenhang mit diesem Objekt stehenden Grün- oder Straßenflächen durch Allgemeinverfügung das Abstellen von Fahrrädern, E-Scootern und anderen Gegenständen beschränken oder verbieten, wenn Tatsachen die Annahme rechtfertigen, dass an einem Objekt dieser Art Straftaten von erheblicher Bedeutung drohen und deren Verhütung auf andere Weise wesentlich erschwert wäre."
37b,Nutzungsbeschränkende Maßnahmen an gefährdeten Objekten,P37b-A2,2,"Die Allgemeinverfügung ist auf höchstens ein Jahr zu befristen. Eine Verlängerung um jeweils höchstens ein Jahr ist zulässig, soweit die Voraussetzungen gemäß Absatz 1 weiterhin vorliegen."
38,Sicherstellung,P38-A1,1,"Die Ordnungsbehörden und die Polizei können eine Sache sicherstellen,"
38,Sicherstellung,,,"um eine gegenwärtige Gefahr abzuwehren,"
38,Sicherstellung,,,"um den Eigentümer oder den rechtmäßigen Inhaber der tatsächlichen Gewalt vor Verlust oder Beschädigung einer Sache zu schützen,"
38,Sicherstellung,,,"wenn sie von einer Person mitgeführt wird, die nach diesem Gesetz oder anderen Rechtsvorschriften festgehalten wird, vorgeführt oder zur Durchführung einer Maßnahme an einen anderen Ort gebracht werden soll und die Sache verwendet werden kann, um"
38,Sicherstellung,,,"sich zu töten oder zu verletzen,"
38,Sicherstellung,,,"Leben oder Gesundheit anderer zu schädigen,"
38,Sicherstellung,,,"fremde Sachen zu beschädigen,"
38,Sicherstellung,,,die Flucht zu ermöglichen oder zu erleichtern.
38,Sicherstellung,P38-A1,2,Die Sicherstellung hat die Wirkung eines Veräußerungsverbots im Sinne des § 136 des Bürgerlichen Gesetzbuches.
38,Sicherstellung,P38-A1,3,Unter den Voraussetzungen des Absatzes 1 Nummer 1 und 2 kann die Polizei auch Forderungen sowie andere Vermögensrechte sicherstellen. Die Vorschriften der Zivilprozessordnung über die Zwangsvollstreckung in Forderungen und andere Vermögensrechte gelten entsprechend.
39,Verwahrung,P39-A1,1,"Sichergestellte Sachen sind in Verwahrung zu nehmen. Lässt die Beschaffenheit der Sachen das nicht zu oder erscheint die Verwahrung bei der Ordnungsbehörde oder der Polizei unzweckmäßig, sind die Sachen auf andere geeignete Weise aufzubewahren oder zu sichern. In diesem Falle kann die Verwahrung auch einem Dritten übertragen werden."
39,Verwahrung,P39-A2,2,"Der betroffenen Person ist eine Bescheinigung auszustellen, die den Grund der Sicherstellung erkennen lässt und die sichergestellten Sachen bezeichnet. Kann nach den Umständen des Falles eine Bescheinigung nicht ausgestellt werden, so ist über die Sicherstellung eine Niederschrift aufzunehmen, die auch erkennen lässt, warum eine Bescheinigung nicht ausgestellt worden ist. Der Eigentümer oder der rechtmäßige Inhaber der tatsächlichen Gewalt ist unverzüglich zu unterrichten."
39,Verwahrung,P39-A3,3,"Wird eine sichergestellte Sache verwahrt, so ist nach Möglichkeit Wertminderungen vorzubeugen. Das gilt nicht, wenn die Sache durch den Dritten auf Verlangen eines Berechtigten verwahrt wird."
39,Verwahrung,P39-A4,4,"Die verwahrten Sachen sind zu verzeichnen und so zu kennzeichnen, dass Verwechslungen vermieden werden."
40,"Verwertung, Vernichtung, Einziehung",P40-A1,1,"Die Verwertung einer sichergestellten Sache ist zulässig, wenn"
40,"Verwertung, Vernichtung, Einziehung",,,"ihr Verderb oder eine wesentliche Wertminderung droht,"
40,"Verwertung, Vernichtung, Einziehung",,,"ihre Verwahrung, Pflege oder Erhaltung mit unverhältnismäßig hohen Kosten oder Schwierigkeiten verbunden ist,"
40,"Verwertung, Vernichtung, Einziehung",,,"sie infolge ihrer Beschaffenheit nicht so verwahrt werden kann, dass weitere Gefahren für die öffentliche Sicherheit oder Ordnung ausgeschlossen sind,"
40,"Verwertung, Vernichtung, Einziehung",,,"sie nach einer Frist von einem Jahr nicht an einen Berechtigten herausgegeben werden kann, ohne dass die Voraussetzungen der Sicherstellung erneut eintreten würden,"
40,"Verwertung, Vernichtung, Einziehung",,,"der Berechtigte sie nicht innerhalb einer ausreichend bemessenen Frist abholt, obwohl ihm eine Mitteilung über die Frist mit dem Hinweis zugestellt worden ist, dass die Sache verwertet wird, wenn sie nicht innerhalb der Frist abgeholt wird."
40,"Verwertung, Vernichtung, Einziehung",P40-A2,2,"Die betroffene Person, der Eigentümer und andere Personen, denen ein Recht an der Sache zusteht, sollen vor der Verwertung gehört werden. Die Anordnung sowie Zeit und Ort der Verwertung sind ihnen mitzuteilen, soweit die Umstände und der Zweck der Maßnahmen es erlauben."
40,"Verwertung, Vernichtung, Einziehung",P40-A3,3,"Die Sache wird durch öffentliche Versteigerung verwertet; § 979 Abs. 1 des Bürgerlichen Gesetzbuches gilt entsprechend. Bleibt die Versteigerung erfolglos, erscheint sie von vornherein aussichtslos oder würden die Kosten der Versteigerung voraussichtlich den zu erwartenden Erlös übersteigen, so kann die Sache freihändig verkauft werden. Der Erlös tritt an die Stelle der verwerteten Sache. Lässt sich innerhalb angemessener Frist kein Käufer finden, so kann die Sache einem gemeinnützigen Zweck zugeführt werden."
40,"Verwertung, Vernichtung, Einziehung",P40-A4,4,"Sichergestellte Sachen können unbrauchbar gemacht, vernichtet oder eingezogen werden, wenn"
40,"Verwertung, Vernichtung, Einziehung",,,"im Falle einer Verwertung die Gründe, die zu ihrer Sicherstellung berechtigten, fortbestehen oder Sicherstellungsgründe erneut entstehen würden,"
40,"Verwertung, Vernichtung, Einziehung",,,die Verwertung aus anderen Gründen nicht möglich ist.
40,"Verwertung, Vernichtung, Einziehung",P40-A4-S2,,Absatz 2 gilt entsprechend.
